Source Target Weight
中航 工业 13
中航 首席专家 4
中航 出版 4
中航 技术 7
工业 中航 13
工业 首席专家 4
工业 国家 7
工业 科技 4
工业 技术 11
工业 作为 4
工业 发展 4
工业 航空 7
工业 发动机 5
工业 基础 6
工业 试验 4
工业 测量 4
首席专家 中航 4
首席专家 工业 4
首席专家 技术 4
首席专家 丛书 4
国家 工业 7
国家 规划 5
国家 技术 9
国家 航空工业 8
国家 发展 14
国家 必须 5
国家 鉴定 16
国家 试验 36
国家 一个 8
国家 航空 25
国家 发动机 32
国家 高空 29
国家 模拟 21
国家 试车 6
国家 研制 6
国家 飞行 4
国家 试验设备 6
国家 建设 6
国家 这些 4
国家 保证 4
国家 经济 7
国家 涡轮 4
国家 研究 9
国家 战略 5
国家 体现 4
国家 包括 4
国家 美国 10
国家 安全 5
国家 以及 4
国家 军用 4
国家 标准 4
国家 测量 5
国家 校准 5
国家 进行 6
国家 规定 5
国家 结果 4
国家 评审 4
国家 计量 4
国家 机关 6
国家 计量标定 4
重点 项目 4
重点 技术 6
重点 发展 5
重点 试验 9
重点 研究 8
重点 发动机 5
重点 高空 5
出版 中航 4
规划 国家 5
规划 建设 7
规划 航空 7
规划 发展 7
规划 发动机 5
规划 试验 4
项目 重点 4
项目 高空 37
项目 模拟 19
项目 试验 88
项目 主要 8
项目 飞行 10
项目 要求 7
项目 设计 4
项目 鉴定 10
项目 航空 7
项目 发动机 19
项目 全部 4
项目 性能 4
项目 起动 5
项目 测量 4
项目 必须 4
项目 进行 8
项目 部分 4
项目 定型 6
项目 规定 8
项目 通过 5
项目 完成 4
科技 工业 4
科技 创新 4
科技 航空 12
科技 基础 6
科技 重大 4
科技 发展 9
科技 发动机 8
科技 试验 4
信息化 发动机 4
信息化 试验 6
组织 高空 6
组织 试验 8
组织 有效 4
组织 需要 4
组织 系统 12
组织 仿真 12
组织 平台 10
组织 模型 7
侯敏杰 高空 11
侯敏杰 模拟 7
侯敏杰 试验 18
侯敏杰 技术 10
侯敏杰 航空 26
侯敏杰 发动机 22
侯敏杰 叶巍 5
侯敏杰 乔渭阳 4
侯敏杰 动力学 4
侯敏杰 刘志友 6
侯敏杰 推力 4
侯敏杰 影响 5
侯敏杰 研究 13
侯敏杰 压力 6
侯敏杰 燃气 9
侯敏杰 涡轮 9
侯敏杰 温度 6
侯敏杰 畸变 7
侯敏杰 进气 6
侯敏杰 石小江 4
侯敏杰 系统 5
模拟 试验 2137
模拟 技术 456
模拟 高空 2168
模拟 本书 11
模拟 阐述 4
模拟 主要 114
模拟 内容 22
模拟 包括 38
模拟 特点 8
模拟 分类 6
模拟 及其 15
模拟 管理 7
模拟 试车 220
模拟 此外 8
模拟 各类 9
模拟 发动机 1406
模拟 侯敏杰 7
模拟 航空 603
模拟 简称 6
模拟 作为 10
模拟 一种 24
模拟 大型 13
模拟 设施 4
模拟 地面 51
模拟 能够 23
模拟 研制 60
模拟 过程 32
模拟 实现 24
模拟 工作 118
模拟 包线 20
模拟 范围 61
模拟 平台 8
模拟 当前 4
模拟 我国 24
模拟 研发 10
模拟 测试 32
模拟 因素 11
模拟 知识 5
模拟 基础 5
模拟 准确 24
模拟 动机 26
模拟 发展 87
模拟 相关 11
模拟 涡喷 14
模拟 涡扇 14
模拟 介绍 7
模拟 直接 151
模拟 连接 130
模拟 进行 303
模拟 环境 120
模拟 状态 298
模拟 参数 72
模拟 测量方法 5
模拟 性能 120
模拟 评定 23
模拟 方法 62
模拟 计量标定 20
模拟 性能参数 9
模拟 确定 77
模拟 流程 29
模拟 进气 72
模拟 压力 177
模拟 畸变 64
模拟 数值 23
模拟 仿真 56
模拟 展望 13
模拟 尽量 7
模拟 采用 49
模拟 涉及 11
模拟 设计 40
模拟 以及 43
模拟 机构 5
模拟 世界 13
模拟 中国 11
模拟 类型 51
模拟 功能 51
模拟 自由 93
模拟 射流 92
模拟 管道 15
模拟 喷管 34
模拟 关键设备 20
模拟 试验设备 238
模拟 要求 190
模拟 典型 21
模拟 直连式 11
模拟 飞行 434
模拟 影响 45
模拟 稳态 60
模拟 合格 10
模拟 标准 32
模拟 冲压 18
模拟 核心 39
模拟 目的 13
模拟 意义 5
模拟 项目 19
模拟 需要 83
模拟 解决 11
模拟 问题 26
模拟 海平面 34
模拟 静止 14
模拟 完成 40
模拟 试验报告 7
模拟 控制技术 9
模拟 控制系统 22
模拟 结构 18
模拟 分析 34
模拟 环节 8
模拟 特性 41
模拟 现代 14
模拟 应用 21
模拟 科目 6
模拟 控制 46
模拟 调节 47
模拟 仿真技术 19
模拟 阀门 9
模拟 流量 87
模拟 数学模型 7
模拟 机动 23
模拟 测量 106
模拟 降低 5
模拟 调试 29
模拟 装置 50
模拟 模拟网 11
模拟 结果 41
模拟 现有 11
模拟 规范 16
模拟 数值仿真技术 11
模拟 需求 18
模拟 物理 13
模拟 系统 175
模拟 推进 75
模拟 方向 5
模拟 自动化 6
模拟 智能化 4
模拟 因此 34
模拟 空中 30
模拟 条件 169
模拟 充分 7
模拟 新型 16
模拟 为例 4
模拟 两个 6
模拟 阶段 24
模拟 规定 42
模拟 鉴定 43
模拟 科研 4
模拟 整个 28
模拟 以上 10
模拟 就是 21
模拟 排气 58
模拟 按照 30
模拟 空气 85
模拟 动力学 6
模拟 原理 8
模拟 起来 6
模拟 试验台 8
模拟 一个 24
模拟 国家 21
模拟 自己 4
模拟 没有 16
模拟 相应 21
模拟 时间 24
模拟 并且 4
模拟 要用 5
模拟 由此可见 8
模拟 基地 17
模拟 见图 18
模拟 国际 8
模拟 重视 7
模拟 研究 67
模拟 建设 28
模拟 数字 9
模拟 法等国 4
模拟 新建 9
模拟 扩建 6
模拟 不同 29
模拟 开拓 5
模拟 而且 17
模拟 规模 13
模拟 越来越 11
模拟 作用 8
模拟 可以 75
模拟 任务 48
模拟 密切相关 7
模拟 相辅相成 4
模拟 设备 90
模拟 进口 152
模拟 总温 27
模拟 总压 58
模拟 出口 19
模拟 环境压力 27
模拟 高度 69
模拟 速度 26
模拟 根据 43
模拟 飞机 150
模拟 进气道 96
模拟 各种 16
模拟 飞行高度 41
模拟 飞行速度 9
模拟 各项 7
模拟 尽可能 7
模拟 所在 4
模拟 推力瞬变 26
模拟 起动 29
模拟 首先 4
模拟 通过 100
模拟 高性能 10
模拟 定型 24
模拟 包含 5
模拟 原型 7
模拟 动力 20
模拟 有效 16
模拟 手段 14
模拟 必不可少 4
模拟 一定 25
模拟 计算 21
模拟 程序 5
模拟 验证 31
模拟 修正 35
模拟 稳定性 6
模拟 必须 39
模拟 广泛 8
模拟 才能 12
模拟 使用 40
模拟 只有 7
模拟 合适 6
模拟 最高 8
模拟 满足 46
模拟 大量 22
模拟 特别 15
模拟 理想 5
模拟 通用 14
模拟 开始 19
模拟 试飞 11
模拟 即可 6
模拟 美国 23
模拟 苏联 6
模拟 建成 4
模拟 超声速 9
模拟 校准 24
模拟 模型试验 6
模拟 部件 21
模拟 形式 15
模拟 这项 4
模拟 故障 9
模拟 方案 4
模拟 实际 26
模拟 考核 9
模拟 强度 4
模拟 是否 5
模拟 足够 5
模拟 合理 6
模拟 所有 8
模拟 前面 7
模拟 所述 4
模拟 经济 4
模拟 安全 5
模拟 利用 36
模拟 这种 42
模拟 重新 4
模拟 复制 4
模拟 出现 9
模拟 精确 10
模拟 宽广 5
模拟 得到 30
模拟 附加 4
模拟 还要 9
模拟 工程 9
模拟 中心 7
模拟 可能 11
模拟 同样 9
模拟 前述 7
模拟 先进 15
模拟 这些 13
模拟 涡轮 43
模拟 达到 18
模拟 匹配 12
模拟 整机 7
模拟 综合 12
模拟 得出 7
模拟 关系 10
模拟 检验 8
模拟 看出 4
模拟 几乎 4
模拟 完全 10
模拟 一样 4
模拟 有关 10
模拟 不是 4
模拟 经济效益 4
模拟 这样 17
模拟 差不多 5
模拟 拥有 5
模拟 发动 17
模拟 单独 5
模拟 尺寸 28
模拟 加力燃烧 7
模拟 高压 5
模拟 燃烧 6
模拟 燃烧室 13
模拟 部分 16
模拟 世纪 8
模拟 发达国家 5
模拟 形成 12
模拟 相对 4
模拟 成熟 6
模拟 体系 5
模拟 持久 23
模拟 运转 7
模拟 最大 28
模拟 引射 4
模拟 一般 44
模拟 型号 8
模拟 属于 14
模拟 范畴 6
模拟 相当 8
模拟 比例 4
模拟 加温 12
模拟 增压 14
模拟 也就是说 5
模拟 全部 8
模拟 气体 17
模拟 能力 45
模拟 不断 7
模拟 提升 5
模拟 完善 6
模拟 目前 16
模拟 不仅 11
模拟 用于 29
模拟 同时 19
模拟 成为 9
模拟 德国 4
模拟 公司 7
模拟 建立 33
模拟 重要 33
模拟 燃气 20
模拟 加速 26
模拟 安装 31
模拟 方式 10
模拟 温度 100
模拟 试验段 7
模拟 直径 4
模拟 接近 8
模拟 内部 22
模拟 为此 7
模拟 风洞 31
模拟 其他 18
模拟 这是 4
模拟 风洞试验 14
模拟 不能 22
模拟 大气压力 21
模拟 随着 14
模拟 马赫数 49
模拟 年代 8
模拟 例如 7
模拟 极限 9
模拟 方面 13
模拟 各国 6
模拟 更加 5
模拟 小型 7
模拟 飞行器 11
模拟 相容性 7
模拟 对于 44
模拟 流动 28
模拟 联合 15
模拟 非常 5
模拟 真实 51
模拟 这个 11
模拟 姿态 8
模拟 变化 34
模拟 侧滑 8
模拟 角度 5
模拟 可达 5
模拟 类似 7
模拟 机身 9
模拟 螺旋桨 4
模拟 经过 5
模拟 生产 7
模拟 全面 7
模拟 进入 16
模拟 因而 13
模拟 绝对 5
模拟 气源 43
模拟 功率 24
模拟 开展 9
模拟 投入 4
模拟 成本 4
模拟 水平 4
模拟 涡轴 10
模拟 基本 16
模拟 承担 5
模拟 获得 18
模拟 处于 8
模拟 由于 22
模拟 优化 10
模拟 目标 8
模拟 保障 4
模拟 连续 13
模拟 一项 6
模拟 复杂 15
模拟 串并联抽气 4
模拟 快速 9
模拟 降温 7
模拟 关键技术 6
模拟 涡轮喷气 17
模拟 摸索 5
模拟 暂冲式 10
模拟 试验装置 11
模拟 正式 4
模拟 连续式 15
模拟 标定 9
模拟 某些 7
模拟 组成 12
模拟 供气 47
模拟 具有 12
模拟 庞大 10
模拟 分为 11
模拟 还有 5
模拟 被试 6
模拟 标准大气 20
模拟 气流 63
模拟 给定 16
模拟 温和 12
模拟 考虑 11
模拟 总压恢复系数 4
模拟 静压 5
模拟 处理 8
模拟 舱内 28
模拟 抽气 43
模拟 产生 15
模拟 流场 36
模拟 后舱 9
模拟 推力 42
模拟 排气扩压器 10
模拟 造成 6
模拟 中所 4
